Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:34,31148832071,82,71,71,71,69,69,2649600,0,0,0,21.85,77.31,0.00,0.00,0.84,1971144,1771784,
01-01 00:00:35,32571885404,82,72,71,71,69,69,2649600,0,0,0,67.65,32.35,0.00,0.00,0.00,1971144,1757756,
01-01 00:00:37,33941962591,83,72,71,71,70,69,2649600,0,0,0,37.50,61.76,0.74,0.00,0.00,1971144,1740628,
01-01 00:00:38,35168993423,74,69,69,70,69,69,2649600,0,0,0,10.71,25.00,0.00,0.00,64.29,1971144,1740860,
01-01 00:00:39,36306542329,79,70,70,70,69,69,2649600,0,0,0,2.59,41.38,0.00,0.00,56.03,1971144,1722416,
01-01 00:00:40,37541426183,79,69,69,69,69,68,2649600,0,0,0,5.98,27.35,0.00,0.00,66.67,1971144,1723344,
01-01 00:00:41,38734915714,73,69,69,69,69,68,2649600,0,0,0,8.77,37.72,0.00,0.00,53.51,1971144,1724476,
01-01 00:00:43,39843143370,73,69,69,69,69,68,2649600,0,0,0,16.67,25.93,0.93,0.00,56.48,1971144,1717140,
01-01 00:00:44,40949322171,72,68,69,69,68,68,2649600,0,0,0,0.94,11.32,0.00,0.00,87.74,1971144,1716956,
01-01 00:00:45,42058565192,73,68,68,69,68,68,2649600,0,0,0,1.92,10.58,0.00,0.00,87.50,1971144,1716944,
01-01 00:00:46,43226792483,72,68,69,69,68,68,2649600,0,0,0,9.57,45.22,0.00,0.00,45.22,1971144,1717180,
01-01 00:00:47,44334246753,73,68,68,68,68,68,2649600,0,0,0,0.00,11.54,0.00,0.00,88.46,1971144,1717144,
01-01 00:00:48,45436092222,72,68,68,68,68,68,2649600,0,0,0,0.00,10.58,0.00,0.00,89.42,1971144,1717348,
01-01 00:00:49,46538166127,72,68,68,68,68,68,2649600,0,0,0,5.56,11.11,0.00,0.00,83.33,1971144,1717236,
01-01 00:00:50,47650402950,72,68,68,68,68,68,2649600,0,0,0,5.36,11.61,0.00,0.00,83.04,1971144,1716836,
01-01 00:00:52,48802273887,84,71,70,70,68,68,2649600,0,0,0,35.77,64.23,0.00,0.00,0.00,1971144,1705276,23624
01-01 00:00:53,50377465084,82,71,70,70,68,68,2649600,0,0,0,47.47,52.53,0.00,0.00,0.00,1971144,1652560,24004
01-01 00:00:55,51815933209,75,70,70,70,69,68,2649600,0,0,0,34.07,53.33,0.00,0.00,12.59,1971144,1600752,24004
01-01 00:00:56,52933213521,79,79,79,81,69,68,2649600,2649600,2649600,2649600,23.40,60.64,1.06,0.00,14.89,1971144,1554988,24008
01-01 00:00:57,54133307999,82,81,81,85,69,68,2649600,2649600,2649600,2649600,22.05,35.41,4.68,0.00,37.86,1971144,1524896,24008
01-01 00:00:58,55281762062,82,80,80,82,70,69,2649600,2649600,2649600,2649600,21.90,23.97,2.48,0.00,51.65,1971144,1497228,38252
01-01 00:00:59,56533022321,77,84,74,75,70,69,2649600,2649600,2649600,2649600,20.51,22.86,0.43,0.00,56.20,1971144,1495324,38648
01-01 00:01:00,57664647113,78,80,79,85,69,69,2649600,2649600,2649600,2649600,14.88,22.32,0.66,0.00,62.14,1971144,1495428,38700
01-01 00:01:02,58789922789,76,75,81,86,70,69,2649600,2649600,2649600,2649600,23.30,29.13,1.36,0.00,46.21,1971144,1496184,38924
01-01 00:01:03,59921599195,75,75,76,87,70,69,2649600,2649600,2649600,2649600,18.60,18.38,0.22,0.00,62.80,1971144,1497964,38560
