Time,Timestamp(ns since boot),CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq,CPU %user,CPU %system,CPU %irqs,CPU %steal,CPU %idle,MemTotal kB,MemFree kB,MemSnapcam kB
01-01 00:00:26,22750474000,36,38,38,38,34,33,2649600,2649600,2649600,2649600,2.77,11.59,0.00,0.00,85.64,1971144,1744548,
01-01 00:00:27,23848811708,35,36,36,37,33,33,2649600,2649600,2649600,2649600,0.69,3.45,0.23,0.00,95.63,1971144,1744000,
01-01 00:00:28,24947246500,38,40,40,41,33,33,2649600,2649600,2649600,2649600,1.64,15.65,0.00,0.00,82.71,1971144,1724252,
01-01 00:00:29,26052381135,35,36,36,36,33,33,2649600,2649600,2649600,2649600,3.36,11.21,0.00,0.00,85.43,1971144,1725832,
01-01 00:00:30,27150351551,34,36,35,35,33,33,2649600,2649600,2649600,2649600,0.23,4.13,0.00,0.00,95.64,1971144,1725604,
01-01 00:00:31,28249118113,35,36,36,36,33,33,2649600,2649600,2649600,2649600,4.14,8.28,0.00,0.00,87.59,1971144,1719228,
01-01 00:00:32,29344707227,37,39,36,37,33,33,2649600,2649600,2649600,2649600,0.68,7.67,0.00,0.00,91.65,1971144,1719408,
01-01 00:00:33,30447801289,35,37,44,38,33,33,2649600,2649600,2649600,2649600,7.39,11.09,0.00,0.00,81.52,1971144,1718608,
01-01 00:00:35,31542814257,35,36,35,36,33,33,2649600,2649600,2649600,2649600,0.23,2.79,0.00,0.00,96.98,1971144,1718588,
01-01 00:00:36,32638937486,34,35,36,36,33,33,2649600,2649600,2649600,2649600,0.45,4.30,0.00,0.00,95.25,1971144,1719272,
01-01 00:00:37,33738393632,35,36,35,35,33,33,2649600,2649600,2649600,2649600,0.92,4.35,0.00,0.00,94.74,1971144,1719392,
01-01 00:00:38,34835392590,37,37,37,37,33,33,2649600,2649600,2649600,2649600,1.15,5.07,0.00,0.00,93.78,1971144,1718784,
01-01 00:00:39,35940382589,35,36,36,36,33,33,2649600,2649600,2649600,2649600,2.31,11.11,0.00,0.00,86.57,1971144,1718864,
01-01 00:00:40,37037860974,34,36,35,35,33,33,2649600,2649600,2649600,2649600,0.46,2.77,0.00,0.00,96.77,1971144,1718712,
01-01 00:00:41,38132364359,35,36,35,35,33,33,2649600,2649600,2649600,2649600,0.70,2.78,0.00,0.00,96.52,1971144,1718812,
01-01 00:00:42,39231588786,43,45,43,44,33,33,2649600,2649600,2649600,2649600,14.09,14.54,0.22,0.00,71.14,1971144,1680952,23992
01-01 00:00:44,40464985244,41,42,43,40,35,34,2649600,2649600,2649600,2649600,28.51,35.64,0.21,0.00,35.64,1971144,1565628,23992
01-01 00:00:45,41581046962,49,44,41,41,35,34,2649600,2649600,2649600,2649600,14.32,29.09,1.59,0.00,55.00,1971144,1525588,23992
01-01 00:00:46,42741432482,44,45,44,48,35,35,2649600,2649600,2649600,2649600,18.86,32.68,0.88,0.00,47.59,1971144,1490944,34072
01-01 00:00:47,43879758888,41,47,40,40,36,35,2649600,2649600,2649600,2649600,24.32,29.95,0.68,0.00,45.05,1971144,1483176,38808
01-01 00:00:48,45013260190,40,41,46,41,36,35,2649600,2649600,2649600,2649600,20.45,27.27,0.00,0.00,52.27,1971144,1488060,38848
01-01 00:00:49,46143720814,42,46,39,39,36,35,2649600,2649600,2649600,2649600,17.14,16.92,0.22,0.00,65.73,1971144,1488776,38880
01-01 00:00:50,47277715866,45,41,40,40,36,35,2649600,2649600,2649600,2649600,16.40,17.09,0.00,0.00,66.51,1971144,1490552,38884
01-01 00:00:51,48419512428,39,40,45,39,36,35,2649600,2649600,2649600,2649600,17.56,18.42,0.64,0.00,63.38,1971144,1491252,38652
01-01 00:00:53,49548662063,40,46,38,39,36,35,2649600,2649600,2649600,2649600,18.10,14.93,0.45,0.00,66.52,1971144,1491404,38688
01-01 00:00:54,50682875552,39,41,41,47,35,35,2649600,2649600,2649600,2649600,18.39,14.02,0.00,0.00,67.59,1971144,1479796,38820
01-01 00:00:55,51826655864,40,40,46,41,36,35,2649600,2649600,2649600,2649600,19.27,19.05,0.91,0.00,60.77,1971144,1470884,38932
01-01 00:00:56,52960513885,44,40,39,40,36,35,2649600,2649600,2649600,2649600,14.98,18.06,0.22,0.00,66.74,1971144,1470948,38896
01-01 00:00:57,54094683415,41,46,39,39,36,35,2649600,2649600,2649600,2649600,15.99,15.32,0.23,0.00,68.47,1971144,1470836,38912
01-01 00:00:58,55228901957,39,38,45,40,36,35,2649600,2649600,2649600,2649600,17.78,12.24,0.00,0.00,69.98,1971144,1470340,38812
01-01 00:00:59,56361461904,44,40,39,42,36,35,2649600,2649600,2649600,2649600,16.88,16.02,0.22,0.00,66.88,1971144,1470412,38864
01-01 00:01:01,57491785914,39,40,43,44,35,35,2649600,2649600,2649600,2649600,16.44,16.00,0.44,0.00,67.11,1971144,1470440,39052
01-01 00:01:02,58637509612,40,46,38,39,36,35,2649600,2649600,2649600,2649600,18.65,12.81,0.22,0.00,68.31,1971144,1470708,38796
01-01 00:01:03,59784176590,39,39,42,46,35,35,2649600,2649600,2649600,2649600,16.27,18.20,0.43,0.00,65.10,1971144,1470240,38956
01-01 00:01:04,60919510288,40,46,39,39,36,35,2649600,2649600,2649600,2649600,16.17,15.26,0.23,0.00,68.34,1971144,1470356,38836
01-01 00:01:05,62053840496,40,40,40,46,35,35,2649600,2649600,2649600,2649600,17.70,13.33,0.23,0.00,68.74,1971144,1470924,38968
01-01 00:01:06,63189986485,40,40,46,41,36,35,2649600,2649600,2649600,2649600,17.39,19.88,0.62,0.00,62.11,1971144,1470656,39092
01-01 00:01:07,64332434141,40,47,39,39,36,35,2649600,2649600,2649600,2649600,15.78,15.56,0.44,0.00,68.22,1971144,1469604,38976
01-01 00:01:09,65460217109,40,40,46,41,36,35,2649600,2649600,2649600,2649600,17.50,13.86,0.23,0.00,68.41,1971144,1470176,39128
01-01 00:01:10,66595233098,41,39,40,47,36,35,2649600,2649600,2649600,2649600,16.67,18.61,0.22,0.00,64.50,1971144,1469752,39048
01-01 00:01:11,67728464764,42,39,40,47,36,35,2649600,2649600,2649600,2649600,16.02,15.10,0.00,0.00,68.88,1971144,1470040,38796
01-01 00:01:12,68861886587,41,40,46,41,37,35,2649600,2649600,2649600,2649600,18.37,13.15,0.00,0.00,68.48,1971144,1470632,38992
01-01 00:01:13,69994147159,40,40,40,47,36,35,2649600,2649600,2649600,2649600,16.24,19.20,0.42,0.00,64.14,1971144,1470092,38896
01-01 00:01:14,71126211013,40,40,46,41,37,35,2649600,2649600,2649600,2649600,20.00,11.14,0.23,0.00,68.64,1971144,1470476,38980
01-01 00:01:15,72263327211,45,43,42,43,37,36,2649600,2649600,2649600,2649600,17.79,13.51,0.00,0.00,68.69,1971144,1473944,38872
01-01 00:01:16,73404755752,45,41,40,41,37,36,2649600,2649600,2649600,2649600,16.67,18.83,0.22,0.00,64.29,1971144,1473536,38984
01-01 00:01:18,74541121064,40,40,46,41,37,36,2649600,2649600,2649600,2649600,16.82,12.73,0.45,0.00,70.00,1971144,1473700,38940
01-01 00:01:19,75675729605,40,40,40,48,37,36,2649600,2649600,2649600,2649600,14.03,17.42,0.00,0.00,68.55,1971144,1473272,39044
01-01 00:01:20,76822830542,41,43,47,42,37,36,2649600,2649600,2649600,2649600,19.66,15.43,0.21,0.00,64.69,1971144,1474216,38972
01-01 00:01:21,77959717104,40,41,42,48,37,36,2649600,2649600,2649600,2649600,19.41,14.90,0.23,0.00,65.46,1971144,1474020,38912
01-01 00:01:22,79094893718,40,41,41,48,37,36,2649600,2649600,2649600,2649600,17.65,14.03,0.45,0.00,67.87,1971144,1473964,38956
01-01 00:01:23,80231823978,41,41,47,42,38,36,2649600,2649600,2649600,2649600,13.59,19.15,0.22,0.00,67.04,1971144,1474136,38956
01-01 00:01:24,81379735124,40,42,42,48,37,36,2649600,2649600,2649600,2649600,15.95,14.12,0.23,0.00,69.70,1971144,1474372,38964
01-01 00:01:26,82516908978,40,41,41,48,37,36,2649600,2649600,2649600,2649600,14.55,17.50,0.00,0.00,67.95,1971144,1474288,38916
01-01 00:01:27,83646467467,40,42,41,48,37,36,2649600,2649600,2649600,2649600,17.80,15.60,0.22,0.00,66.37,1971144,1474288,38876
01-01 00:01:28,84779209862,46,44,40,43,38,36,2649600,2649600,2649600,2649600,14.48,15.61,0.00,0.00,69.91,1971144,1473944,39044
01-01 00:01:29,85912195851,47,42,40,41,38,37,2649600,2649600,2649600,2649600,20.05,11.49,0.00,0.00,68.47,1971144,1473660,38952
01-01 00:01:30,87050640226,41,42,41,48,37,36,2649600,2649600,2649600,2649600,16.49,18.63,0.21,0.00,64.67,1971144,1473748,38924
01-01 00:01:31,88181001319,47,43,40,41,38,37,2649600,2649600,2649600,2649600,18.79,12.53,0.00,0.00,68.68,1971144,1473760,38800
01-01 00:01:32,89313552621,42,42,48,42,38,37,2649600,2649600,2649600,2649600,18.51,14.22,0.00,0.00,67.27,1971144,1474028,38932
01-01 00:01:33,90445253506,41,42,41,49,38,37,2649600,2649600,2649600,2649600,14.32,19.96,0.00,0.00,65.73,1971144,1474084,38964
01-01 00:01:35,91579105172,41,42,41,49,38,37,2649600,2649600,2649600,2649600,18.74,12.87,0.00,0.00,68.40,1971144,1474464,38956
01-01 00:01:36,92713500484,42,42,48,42,38,37,2649600,2649600,2649600,2649600,17.49,14.57,0.22,0.00,67.71,1971144,1473732,38932
01-01 00:01:37,93854701942,41,42,42,49,38,37,2649600,2649600,2649600,2649600,19.18,16.16,0.22,0.00,64.44,1971144,1473940,38996
01-01 00:01:38,95001381369,42,43,42,49,38,37,2649600,2649600,2649600,2649600,17.61,13.54,0.00,0.00,68.85,1971144,1474284,38928
01-01 00:01:39,96134246420,41,43,42,49,38,37,2649600,2649600,2649600,2649600,17.82,15.14,0.00,0.00,67.04,1971144,1473872,38904
01-01 00:01:40,97266581316,47,42,41,42,39,37,2649600,2649600,2649600,2649600,19.53,13.30,0.21,0.00,66.95,1971144,1473828,38948
01-01 00:01:41,98402385638,42,42,43,49,38,37,2649600,2649600,2649600,2649600,16.44,14.64,0.00,0.00,68.92,1971144,1473476,38988
01-01 00:01:43,99542344388,42,41,49,44,39,37,2649600,2649600,2649600,2649600,17.49,15.02,0.00,0.00,67.49,1971144,1474040,38952
01-01 00:01:44,100682370481,42,42,42,50,39,37,2649600,2649600,2649600,2649600,19.20,18.78,0.21,0.00,61.81,1971144,1477696,38868
01-01 00:01:45,101824759543,43,49,42,43,39,38,2649600,2649600,2649600,2649600,17.58,12.56,0.46,0.00,69.41,1971144,1477972,38912
01-01 00:01:46,102963563814,43,42,44,48,39,38,2649600,2649600,2649600,2649600,14.25,16.29,0.23,0.00,69.23,1971144,1477636,39280
01-01 00:01:47,104099566001,43,50,43,42,39,38,2649600,2649600,2649600,2649600,20.46,16.03,0.00,0.00,63.50,1971144,1477472,39060
01-01 00:01:48,105232397458,44,50,41,43,39,38,2649600,2649600,2649600,2649600,15.05,14.81,0.23,0.00,69.91,1971144,1478244,38996
01-01 00:01:49,106365375166,43,43,49,44,39,38,2649600,2649600,2649600,2649600,17.97,12.44,0.00,0.00,69.59,1971144,1477872,39044
01-01 00:01:51,107501403187,48,44,42,42,39,38,2649600,2649600,2649600,2649600,18.45,16.09,0.00,0.00,65.45,1971144,1477740,39116
01-01 00:01:52,108646129332,47,50,42,43,39,38,2649600,2649600,2649600,2649600,16.44,15.11,0.22,0.00,68.22,1971144,1478220,39220
01-01 00:01:53,109780403342,46,50,41,43,39,38,2649600,2649600,2649600,2649600,16.74,15.16,0.00,0.00,68.10,1971144,1478024,39208
01-01 00:01:54,110916474227,44,50,43,44,39,38,2649600,2649600,2649600,2649600,17.23,18.70,0.00,0.00,64.08,1971144,1478016,39052
01-01 00:01:55,112052843602,44,50,42,43,39,38,2649600,2649600,2649600,2649600,17.94,13.90,0.22,0.00,67.94,1971144,1477384,39120
01-01 00:01:56,113192496674,44,50,43,43,40,38,2649600,2649600,2649600,2649600,19.41,11.64,0.00,0.00,68.95,1971144,1477796,39080
01-01 00:01:57,114325588861,44,43,44,50,39,38,2649600,2649600,2649600,2649600,18.22,15.84,0.22,0.00,65.73,1971144,1477900,39196
01-01 00:01:59,115461401673,45,50,42,43,40,39,2649600,2649600,2649600,2649600,17.42,14.25,0.00,0.00,68.33,1971144,1478072,39048
01-01 00:02:00,116598425475,44,44,49,43,40,39,2649600,2649600,2649600,2649600,15.51,16.85,0.00,0.00,67.64,1971144,1477852,39380
01-01 00:02:01,117736430579,44,42,49,48,40,39,2649600,2649600,2649600,2649600,19.44,15.33,0.00,0.00,65.23,1971144,1477964,38832
01-01 00:02:02,118877693339,44,43,43,50,40,39,2649600,2649600,2649600,2649600,17.04,13.45,0.22,0.00,69.28,1971144,1478240,39000
01-01 00:02:03,120008716567,46,45,46,43,40,39,2649600,2649600,2649600,2649600,15.49,15.27,0.22,0.00,69.03,1971144,1477628,38988
01-01 00:02:04,121141975577,43,43,44,50,40,39,2649600,2649600,2649600,2649600,18.20,14.25,0.22,0.00,67.32,1971144,1477996,39008
01-01 00:02:05,122280589587,43,44,44,51,40,39,2649600,2649600,2649600,2649600,14.41,18.02,0.00,0.00,67.57,1971144,1478000,38832
01-01 00:02:06,123415601358,49,44,43,43,40,39,2649600,2649600,2649600,2649600,18.67,12.00,0.22,0.00,69.11,1971144,1478228,38828
01-01 00:02:08,124549811982,43,43,44,51,40,39,2649600,2649600,2649600,2649600,15.35,19.83,0.43,0.00,64.39,1971144,1478000,38948
01-01 00:02:09,125682066513,44,44,44,51,40,39,2649600,2649600,2649600,2649600,16.37,15.92,0.22,0.00,67.49,1971144,1477780,38924
01-01 00:02:10,126820447086,43,44,44,52,40,39,2649600,2649600,2649600,2649600,17.77,13.44,0.00,0.00,68.79,1971144,1478260,39040
01-01 00:02:11,127952923335,44,47,44,51,40,39,2649600,2649600,2649600,2649600,17.80,16.04,0.22,0.00,65.93,1971144,1478376,38644
01-01 00:02:12,129084079897,44,44,44,52,40,39,2649600,2649600,2649600,2649600,18.08,14.73,0.00,0.00,67.19,1971144,1478048,38844
01-01 00:02:13,130217689220,45,51,43,43,40,39,2649600,2649600,2649600,2649600,17.05,13.86,0.00,0.00,69.09,1971144,1477912,38776
01-01 00:02:14,131351630313,44,44,44,52,40,39,2649600,2649600,2649600,2649600,15.20,17.62,0.22,0.00,66.96,1971144,1478404,38984
01-01 00:02:16,132483130990,44,43,51,45,41,40,2649600,2649600,2649600,2649600,17.82,14.70,0.22,0.00,67.26,1971144,1477904,39084
01-01 00:02:17,133625798229,45,44,51,45,41,40,2649600,2649600,2649600,2649600,16.44,15.09,0.00,0.00,68.47,1971144,1478232,38920
01-01 00:02:18,134770260416,45,44,51,45,41,40,2649600,2649600,2649600,2649600,17.16,14.67,0.23,0.00,67.95,1971144,1477812,38968
01-01 00:02:19,135916588697,50,44,44,44,41,40,2649600,2649600,2649600,2649600,16.70,14.53,0.00,0.00,68.76,1971144,1478176,38960
01-01 00:02:20,137044909217,45,44,45,52,41,40,2649600,2649600,2649600,2649600,17.51,12.90,0.00,0.00,69.59,1971144,1478192,38856
01-01 00:02:21,138186582029,44,48,44,52,41,40,2649600,2649600,2649600,2649600,17.48,15.27,0.00,0.00,67.26,1971144,1478292,38936
01-01 00:02:22,139325723175,46,52,44,44,41,40,2649600,2649600,2649600,2649600,20.66,16.74,0.21,0.00,62.40,1971144,1477804,39072
01-01 00:02:24,140458836976,46,52,43,46,41,40,2649600,2649600,2649600,2649600,17.61,13.54,0.23,0.00,68.62,1971144,1477656,39092
01-01 00:02:25,141588416351,50,45,44,44,41,40,2649600,2649600,2649600,2649600,13.93,16.18,0.22,0.00,69.66,1971144,1477212,39080
01-01 00:02:26,142717889892,50,45,44,45,41,40,2649600,2649600,2649600,2649600,14.98,17.40,0.00,0.00,67.62,1971144,1477708,39064
01-01 00:02:27,143847185569,45,44,45,52,41,40,2649600,2649600,2649600,2649600,15.40,15.17,0.00,0.00,69.43,1971144,1477600,39104
01-01 00:02:28,144983864058,45,45,51,45,41,40,2649600,2649600,2649600,2649600,15.11,15.56,0.44,0.00,68.89,1971144,1478160,39024
01-01 00:02:29,146121552078,46,44,52,47,42,40,2649600,2649600,2649600,2649600,18.45,17.61,0.21,0.00,63.73,1971144,1477684,39064
