--------- beginning of system
01-01 00:00:16.460   249   249 I Vold    : Vold 2.1 (the revenge) firing up
01-01 00:00:16.461   249   249 D Vold    : Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:16.461   249   249 I Cryptfs : Check if PFE is activated on Boot
01-01 00:00:16.462   249   249 E Cryptfs : Bad magic for real block device /dev/block/bootdevice/by-name/userdata
01-01 00:00:16.462   249   249 E Cryptfs : Error getting crypt footer and key
01-01 00:00:16.506   249   284 W DirectVolume: Deprecated implied prefix pattern detected, please use '/devices/msm_sdcc.2/mmc_host*' instead
01-01 00:00:16.506   249   284 D Vold    : Volume sdcard1 state changing 0 (No-Media) -> 2 (Pending)
01-01 00:00:16.506   249   284 D Vold    : Volume sdcard1 state changing 2 (Pending) -> 1 (Idle-Unmounted)
--------- beginning of main
01-01 00:00:18.867   318   318 W Resources: Preloaded drawable resource #0x1080616 (android:drawable/spinner_76_outer_holo) that varies with configuration!!
01-01 00:00:18.868   318   318 W Resources: Preloaded drawable resource #0x1080615 (android:drawable/spinner_76_inner_holo) that varies with configuration!!
01-01 00:00:18.869   318   318 W Resources: Preloaded drawable resource #0x108056a (android:drawable/progress_bg_holo_dark) that varies with configuration!!
01-01 00:00:18.869   318   318 W Resources: Preloaded drawable resource #0x108056b (android:drawable/progress_bg_holo_light) that varies with configuration!!
01-01 00:00:18.869   318   318 W Resources: Preloaded drawable resource #0x108056a (android:drawable/progress_bg_holo_dark) that varies with configuration!!
01-01 00:00:18.870   318   318 W Resources: Preloaded drawable resource #0x108057c (android:drawable/progress_secondary_holo_dark) that varies with configuration!!
01-01 00:00:18.870   318   318 W Resources: Preloaded drawable resource #0x108057a (android:drawable/progress_primary_holo_dark) that varies with configuration!!
01-01 00:00:18.870   318   318 W Resources: Preloaded drawable resource #0x108056c (android:drawable/progress_horizontal_holo_dark) that varies with configuration!!
01-01 00:00:18.871   318   318 W Resources: Preloaded drawable resource #0x108056b (android:drawable/progress_bg_holo_light) that varies with configuration!!
01-01 00:00:18.871   318   318 W Resources: Preloaded drawable resource #0x108057d (android:drawable/progress_secondary_holo_light) that varies with configuration!!
01-01 00:00:18.871   318   318 W Resources: Preloaded drawable resource #0x108057b (android:drawable/progress_primary_holo_light) that varies with configuration!!
01-01 00:00:18.872   318   318 W Resources: Preloaded drawable resource #0x108056d (android:drawable/progress_horizontal_holo_light) that varies with configuration!!
01-01 00:00:18.873   318   318 W Resources: Preloaded drawable resource #0x1080586 (android:drawable/progressbar_indeterminate_holo1) that varies with configuration!!
01-01 00:00:18.873   318   318 W Resources: Preloaded drawable resource #0x1080587 (android:drawable/progressbar_indeterminate_holo2) that varies with configuration!!
01-01 00:00:18.874   318   318 W Resources: Preloaded drawable resource #0x1080588 (android:drawable/progressbar_indeterminate_holo3) that varies with configuration!!
01-01 00:00:18.874   318   318 W Resources: Preloaded drawable resource #0x1080589 (android:drawable/progressbar_indeterminate_holo4) that varies with configuration!!
01-01 00:00:18.874   318   318 W Resources: Preloaded drawable resource #0x108058a (android:drawable/progressbar_indeterminate_holo5) that varies with configuration!!
01-01 00:00:18.875   318   318 W Resources: Preloaded drawable resource #0x108058b (android:drawable/progressbar_indeterminate_holo6) that varies with configuration!!
01-01 00:00:18.876   318   318 W Resources: Preloaded drawable resource #0x108058c (android:drawable/progressbar_indeterminate_holo7) that varies with configuration!!
01-01 00:00:18.877   318   318 W Resources: Preloaded drawable resource #0x108058d (android:drawable/progressbar_indeterminate_holo8) that varies with configuration!!
01-01 00:00:18.877   318   318 W Resources: Preloaded drawable resource #0x108056f (android:drawable/progress_indeterminate_horizontal_holo) that varies with configuration!!
01-01 00:00:18.879   318   318 W Resources: Preloaded drawable resource #0x1080616 (android:drawable/spinner_76_outer_holo) that varies with configuration!!
01-01 00:00:18.880   318   318 W Resources: Preloaded drawable resource #0x1080615 (android:drawable/spinner_76_inner_holo) that varies with configuration!!
01-01 00:00:18.880   318   318 W Resources: Preloaded drawable resource #0x1080572 (android:drawable/progress_large_holo) that varies with configuration!!
01-01 00:00:18.881   318   318 W Resources: Preloaded drawable resource #0x1080614 (android:drawable/spinner_48_outer_holo) that varies with configuration!!
01-01 00:00:18.881   318   318 W Resources: Preloaded drawable resource #0x1080613 (android:drawable/spinner_48_inner_holo) that varies with configuration!!
01-01 00:00:18.881   318   318 W Resources: Preloaded drawable resource #0x1080576 (android:drawable/progress_medium_holo) that varies with configuration!!
01-01 00:00:18.882   318   318 W Resources: Preloaded drawable resource #0x108057a (android:drawable/progress_primary_holo_dark) that varies with configuration!!
01-01 00:00:18.882   318   318 W Resources: Preloaded drawable resource #0x108057b (android:drawable/progress_primary_holo_light) that varies with configuration!!
01-01 00:00:18.882   318   318 W Resources: Preloaded drawable resource #0x108057c (android:drawable/progress_secondary_holo_dark) that varies with configuration!!
01-01 00:00:18.883   318   318 W Resources: Preloaded drawable resource #0x108057d (android:drawable/progress_secondary_holo_light) that varies with configuration!!
01-01 00:00:18.883   318   318 W Resources: Preloaded drawable resource #0x1080612 (android:drawable/spinner_16_outer_holo) that varies with configuration!!
01-01 00:00:18.883   318   318 W Resources: Preloaded drawable resource #0x1080611 (android:drawable/spinner_16_inner_holo) that varies with configuration!!
01-01 00:00:18.883   318   318 W Resources: Preloaded drawable resource #0x108057f (android:drawable/progress_small_holo) that varies with configuration!!
01-01 00:00:18.884   318   318 W Resources: Preloaded drawable resource #0x10805f9 (android:drawable/scrubber_track_holo_dark) that varies with configuration!!
01-01 00:00:18.884   318   318 W Resources: Preloaded drawable resource #0x10805f8 (android:drawable/scrubber_secondary_holo) that varies with configuration!!
01-01 00:00:18.884   318   318 W Resources: Preloaded drawable resource #0x10805f3 (android:drawable/scrubber_primary_holo) that varies with configuration!!
01-01 00:00:18.885   318   318 W Resources: Preloaded drawable resource #0x10805f5 (android:drawable/scrubber_progress_horizontal_holo_dark) that varies with configuration!!
01-01 00:00:18.885   318   318 W Resources: Preloaded drawable resource #0x10805fa (android:drawable/scrubber_track_holo_light) that varies with configuration!!
01-01 00:00:18.885   318   318 W Resources: Preloaded drawable resource #0x10805f8 (android:drawable/scrubber_secondary_holo) that varies with configuration!!
01-01 00:00:18.885   318   318 W Resources: Preloaded drawable resource #0x10805f3 (android:drawable/scrubber_primary_holo) that varies with configuration!!
01-01 00:00:18.886   318   318 W Resources: Preloaded drawable resource #0x10805f6 (android:drawable/scrubber_progress_horizontal_holo_light) that varies with configuration!!
01-01 00:00:18.887   318   318 W Resources: Preloaded drawable resource #0x10805d6 (android:drawable/scrollbar_handle_holo_dark) that varies with configuration!!
01-01 00:00:18.887   318   318 W Resources: Preloaded drawable resource #0x10805d7 (android:drawable/scrollbar_handle_holo_light) that varies with configuration!!
01-01 00:00:18.889   318   318 W Resources: Preloaded drawable resource #0x1080639 (android:drawable/spinner_disabled_holo_dark) that varies with configuration!!
01-01 00:00:18.889   318   318 W Resources: Preloaded drawable resource #0x1080647 (android:drawable/spinner_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.890   318   318 W Resources: Preloaded drawable resource #0x108063f (android:drawable/spinner_focused_holo_dark) that varies with configuration!!
01-01 00:00:18.890   318   318 W Resources: Preloaded drawable resource #0x1080634 (android:drawable/spinner_default_holo_dark) that varies with configuration!!
01-01 00:00:18.890   318   318 W Resources: Preloaded drawable resource #0x108062d (android:drawable/spinner_background_holo_dark) that varies with configuration!!
01-01 00:00:18.892   318   318 W Resources: Preloaded drawable resource #0x108063b (android:drawable/spinner_disabled_holo_light) that varies with configuration!!
01-01 00:00:18.892   318   318 W Resources: Preloaded drawable resource #0x1080649 (android:drawable/spinner_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.893   318   318 W Resources: Preloaded drawable resource #0x1080641 (android:drawable/spinner_focused_holo_light) that varies with configuration!!
01-01 00:00:18.893   318   318 W Resources: Preloaded drawable resource #0x1080636 (android:drawable/spinner_default_holo_light) that varies with configuration!!
01-01 00:00:18.893   318   318 W Resources: Preloaded drawable resource #0x108062e (android:drawable/spinner_background_holo_light) that varies with configuration!!
01-01 00:00:18.895   318   318 W Resources: Preloaded drawable resource #0x1080619 (android:drawable/spinner_ab_default_holo_dark) that varies with configuration!!
01-01 00:00:18.895   318   318 W Resources: Preloaded drawable resource #0x108061b (android:drawable/spinner_ab_default_holo_light) that varies with configuration!!
01-01 00:00:18.896   318   318 W Resources: Preloaded drawable resource #0x108061d (android:drawable/spinner_ab_disabled_holo_dark) that varies with configuration!!
01-01 00:00:18.897   318   318 W Resources: Preloaded drawable resource #0x108061f (android:drawable/spinner_ab_disabled_holo_light) that varies with configuration!!
01-01 00:00:18.898   318   318 W Resources: Preloaded drawable resource #0x1080621 (android:drawable/spinner_ab_focused_holo_dark) that varies with configuration!!
01-01 00:00:18.899   318   318 W Resources: Preloaded drawable resource #0x1080623 (android:drawable/spinner_ab_focused_holo_light) that varies with configuration!!
01-01 00:00:18.899   318   318 W Resources: Preloaded drawable resource #0x1080627 (android:drawable/spinner_ab_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.900   318   318 W Resources: Preloaded drawable resource #0x1080629 (android:drawable/spinner_ab_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.901   318   318 W Resources: Preloaded drawable resource #0x108061d (android:drawable/spinner_ab_disabled_holo_dark) that varies with configuration!!
01-01 00:00:18.902   318   318 W Resources: Preloaded drawable resource #0x1080627 (android:drawable/spinner_ab_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.903   318   318 W Resources: Preloaded drawable resource #0x1080621 (android:drawable/spinner_ab_focused_holo_dark) that varies with configuration!!
01-01 00:00:18.903   318   318 W Resources: Preloaded drawable resource #0x1080619 (android:drawable/spinner_ab_default_holo_dark) that varies with configuration!!
01-01 00:00:18.903   318   318 W Resources: Preloaded drawable resource #0x1080625 (android:drawable/spinner_ab_holo_dark) that varies with configuration!!
01-01 00:00:18.908   318   318 W Resources: Preloaded drawable resource #0x108061f (android:drawable/spinner_ab_disabled_holo_light) that varies with configuration!!
01-01 00:00:18.908   318   318 W Resources: Preloaded drawable resource #0x1080629 (android:drawable/spinner_ab_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.909   318   318 W Resources: Preloaded drawable resource #0x1080623 (android:drawable/spinner_ab_focused_holo_light) that varies with configuration!!
01-01 00:00:18.909   318   318 W Resources: Preloaded drawable resource #0x108061b (android:drawable/spinner_ab_default_holo_light) that varies with configuration!!
01-01 00:00:18.909   318   318 W Resources: Preloaded drawable resource #0x1080626 (android:drawable/spinner_ab_holo_light) that varies with configuration!!
01-01 00:00:18.910   318   318 W Resources: Preloaded drawable resource #0x1080634 (android:drawable/spinner_default_holo_dark) that varies with configuration!!
01-01 00:00:18.910   318   318 W Resources: Preloaded drawable resource #0x1080636 (android:drawable/spinner_default_holo_light) that varies with configuration!!
01-01 00:00:18.911   318   318 W Resources: Preloaded drawable resource #0x1080639 (android:drawable/spinner_disabled_holo_dark) that varies with configuration!!
01-01 00:00:18.913   318   318 W Resources: Preloaded drawable resource #0x108063b (android:drawable/spinner_disabled_holo_light) that varies with configuration!!
01-01 00:00:18.913   318   318 W Resources: Preloaded drawable resource #0x108063f (android:drawable/spinner_focused_holo_dark) that varies with configuration!!
01-01 00:00:18.913   318   318 W Resources: Preloaded drawable resource #0x1080641 (android:drawable/spinner_focused_holo_light) that varies with configuration!!
01-01 00:00:18.914   318   318 W Resources: Preloaded drawable resource #0x1080647 (android:drawable/spinner_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.914   318   318 W Resources: Preloaded drawable resource #0x1080649 (android:drawable/spinner_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.915   318   318 W Resources: Preloaded drawable resource #0x1080275 (android:drawable/cab_background_bottom_holo_dark) that varies with configuration!!
01-01 00:00:18.916   318   318 W Resources: Preloaded drawable resource #0x108027a (android:drawable/cab_background_top_holo_light) that varies with configuration!!
01-01 00:00:18.916   318   318 W Resources: Preloaded drawable resource #0x1080276 (android:drawable/cab_background_bottom_holo_light) that varies with configuration!!
01-01 00:00:18.917   318   318 W Resources: Preloaded drawable resource #0x1080337 (android:drawable/ic_cab_done_holo_dark) that varies with configuration!!
01-01 00:00:18.917   318   318 W Resources: Preloaded drawable resource #0x1080279 (android:drawable/cab_background_top_holo_dark) that varies with configuration!!
01-01 00:00:18.918   318   318 W Resources: Preloaded drawable resource #0x1080338 (android:drawable/ic_cab_done_holo_light) that varies with configuration!!
01-01 00:00:18.918   318   318 W Resources: Preloaded drawable resource #0x10800d7 (android:drawable/btn_cab_done_default_holo_dark) that varies with configuration!!
01-01 00:00:18.918   318   318 W Resources: Preloaded drawable resource #0x10800da (android:drawable/btn_cab_done_focused_holo_light) that varies with configuration!!
01-01 00:00:18.919   318   318 W Resources: Preloaded drawable resource #0x10800d8 (android:drawable/btn_cab_done_default_holo_light) that varies with configuration!!
01-01 00:00:18.919   318   318 W Resources: Preloaded drawable resource #0x10800df (android:drawable/btn_cab_done_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.919   318   318 W Resources: Preloaded drawable resource #0x10800d9 (android:drawable/btn_cab_done_focused_holo_dark) that varies with configuration!!
01-01 00:00:18.919   318   318 W Resources: Preloaded drawable resource #0x10800e0 (android:drawable/btn_cab_done_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.920   318   318 W Resources: Preloaded drawable resource #0x10804a5 (android:drawable/list_pressed_holo_light) that varies with configuration!!
01-01 00:00:18.920   318   318 W Resources: Preloaded drawable resource #0x10800da (android:drawable/btn_cab_done_focused_holo_light) that varies with configuration!!
01-01 00:00:18.920   318   318 W Resources: Preloaded drawable resource #0x10800d8 (android:drawable/btn_cab_done_default_holo_light) that varies with configuration!!
01-01 00:00:18.920   318   318 W Resources: Preloaded drawable resource #0x10800dc (android:drawable/btn_cab_done_holo_light) that varies with configuration!!
01-01 00:00:18.921   318   318 W Resources: Preloaded drawable resource #0x10804a4 (android:drawable/list_pressed_holo_dark) that varies with configuration!!
01-01 00:00:18.921   318   318 W Resources: Preloaded drawable resource #0x10800d9 (android:drawable/btn_cab_done_focused_holo_dark) that varies with configuration!!
01-01 00:00:18.921   318   318 W Resources: Preloaded drawable resource #0x10800d7 (android:drawable/btn_cab_done_default_holo_dark) that varies with configuration!!
01-01 00:00:18.921   318   318 W Resources: Preloaded drawable resource #0x10800db (android:drawable/btn_cab_done_holo_dark) that varies with configuration!!
01-01 00:00:18.922   318   318 W Resources: Preloaded drawable resource #0x1080038 (android:drawable/ic_menu_close_clear_cancel) that varies with configuration!!
01-01 00:00:18.923   318   318 W Resources: Preloaded drawable resource #0x10803db (android:drawable/ic_menu_copy_holo_dark) that varies with configuration!!
01-01 00:00:18.923   318   318 W Resources: Preloaded drawable resource #0x10803dc (android:drawable/ic_menu_copy_holo_light) that varies with configuration!!
01-01 00:00:18.924   318   318 W Resources: Preloaded drawable resource #0x10803df (android:drawable/ic_menu_cut_holo_dark) that varies with configuration!!
01-01 00:00:18.924   318   318 W Resources: Preloaded drawable resource #0x10803e0 (android:drawable/ic_menu_cut_holo_light) that varies with configuration!!
01-01 00:00:18.924   318   318 W Resources: Preloaded drawable resource #0x1080045 (android:drawable/ic_menu_more) that varies with configuration!!
01-01 00:00:18.925   318   318 W Resources: Preloaded drawable resource #0x10803f7 (android:drawable/ic_menu_moreoverflow_normal_holo_dark) that varies with configuration!!
01-01 00:00:18.925   318   318 W Resources: Preloaded drawable resource #0x10803f4 (android:drawable/ic_menu_moreoverflow_holo_dark) that varies with configuration!!
01-01 00:00:18.926   318   318 W Resources: Preloaded drawable resource #0x10803f8 (android:drawable/ic_menu_moreoverflow_normal_holo_light) that varies with configuration!!
01-01 00:00:18.926   318   318 W Resources: Preloaded drawable resource #0x10803f5 (android:drawable/ic_menu_moreoverflow_holo_light) that varies with configuration!!
01-01 00:00:18.926   318   318 W Resources: Preloaded drawable resource #0x10803fb (android:drawable/ic_menu_paste_holo_dark) that varies with configuration!!
01-01 00:00:18.926   318   318 W Resources: Preloaded drawable resource #0x10803fc (android:drawable/ic_menu_paste_holo_light) that varies with configuration!!
01-01 00:00:18.927   318   318 W Resources: Preloaded drawable resource #0x1080405 (android:drawable/ic_menu_selectall_holo_light) that varies with configuration!!
01-01 00:00:18.927   318   318 W Resources: Preloaded drawable resource #0x1080404 (android:drawable/ic_menu_selectall_holo_dark) that varies with configuration!!
01-01 00:00:18.929   318   318 W Resources: Preloaded drawable resource #0x108033c (android:drawable/ic_clear_disabled) that varies with configuration!!
01-01 00:00:18.929   318   318 W Resources: Preloaded drawable resource #0x1080341 (android:drawable/ic_clear_normal) that varies with configuration!!
01-01 00:00:18.929   318   318 W Resources: Preloaded drawable resource #0x108033b (android:drawable/ic_clear) that varies with configuration!!
01-01 00:00:18.931   318   318 W Resources: Preloaded drawable resource #0x108033c (android:drawable/ic_clear_disabled) that varies with configuration!!
01-01 00:00:18.931   318   318 W Resources: Preloaded drawable resource #0x1080341 (android:drawable/ic_clear_normal) that varies with configuration!!
01-01 00:00:18.936   318   318 W Resources: Preloaded drawable resource #0x1080438 (android:drawable/ic_search_api_holo_dark) that varies with configuration!!
01-01 00:00:18.937   318   318 W Resources: Preloaded drawable resource #0x1080439 (android:drawable/ic_search_api_holo_light) that varies with configuration!!
01-01 00:00:18.937   318   318 W Resources: Preloaded drawable resource #0x1080369 (android:drawable/ic_go) that varies with configuration!!
01-01 00:00:18.937   318   318 W Resources: Preloaded drawable resource #0x1080444 (android:drawable/ic_voice_search_api_holo_dark) that varies with configuration!!
01-01 00:00:18.938   318   318 W Resources: Preloaded drawable resource #0x1080445 (android:drawable/ic_voice_search_api_holo_light) that varies with configuration!!
01-01 00:00:18.938   318   318 W Resources: Preloaded drawable resource #0x1080295 (android:drawable/dialog_bottom_holo_dark) that varies with configuration!!
01-01 00:00:18.939   318   318 W Resources: Preloaded drawable resource #0x1080296 (android:drawable/dialog_bottom_holo_light) that varies with configuration!!
01-01 00:00:18.939   318   318 W Resources: Preloaded drawable resource #0x108029a (android:drawable/dialog_full_holo_dark) that varies with configuration!!
01-01 00:00:18.940   318   318 W Resources: Preloaded drawable resource #0x108029b (android:drawable/dialog_full_holo_light) that varies with configuration!!
01-01 00:00:18.940   318   318 W Resources: Preloaded drawable resource #0x10802a3 (android:drawable/dialog_middle_holo_dark) that varies with configuration!!
01-01 00:00:18.940   318   318 W Resources: Preloaded drawable resource #0x10802a4 (android:drawable/dialog_middle_holo_light) that varies with configuration!!
01-01 00:00:18.941   318   318 W Resources: Preloaded drawable resource #0x10802a5 (android:drawable/dialog_top_holo_dark) that varies with configuration!!
01-01 00:00:18.941   318   318 W Resources: Preloaded drawable resource #0x10802a6 (android:drawable/dialog_top_holo_light) that varies with configuration!!
01-01 00:00:18.942   318   318 W Resources: Preloaded drawable resource #0x1080358 (android:drawable/ic_dialog_alert_holo_dark) that varies with configuration!!
01-01 00:00:18.942   318   318 W Resources: Preloaded drawable resource #0x1080359 (android:drawable/ic_dialog_alert_holo_light) that varies with configuration!!
01-01 00:00:18.942   318   318 W Resources: Preloaded drawable resource #0x1080498 (android:drawable/list_divider_holo_dark) that varies with configuration!!
01-01 00:00:18.942   318   318 W Resources: Preloaded drawable resource #0x1080499 (android:drawable/list_divider_holo_light) that varies with configuration!!
01-01 00:00:18.943   318   318 W Resources: Preloaded drawable resource #0x1080499 (android:drawable/list_divider_holo_light) that varies with configuration!!
01-01 00:00:18.944   318   318 W Resources: Preloaded drawable resource #0x10800c2 (android:drawable/ab_transparent_dark_holo) that varies with configuration!!
01-01 00:00:18.945   318   318 W Resources: Preloaded drawable resource #0x10800c0 (android:drawable/ab_stacked_transparent_dark_holo) that varies with configuration!!
01-01 00:00:18.945   318   318 W Resources: Preloaded drawable resource #0x10800a1 (android:drawable/ab_bottom_transparent_dark_holo) that varies with configuration!!
01-01 00:00:18.946   318   318 W Resources: Preloaded drawable resource #0x10800b7 (android:drawable/ab_solid_dark_holo) that varies with configuration!!
01-01 00:00:18.946   318   318 W Resources: Preloaded drawable resource #0x10800bd (android:drawable/ab_stacked_solid_dark_holo) that varies with configuration!!
01-01 00:00:18.947   318   318 W Resources: Preloaded drawable resource #0x108009e (android:drawable/ab_bottom_solid_dark_holo) that varies with configuration!!
01-01 00:00:18.947   318   318 W Resources: Preloaded drawable resource #0x10800c3 (android:drawable/ab_transparent_light_holo) that varies with configuration!!
01-01 00:00:18.947   318   318 W Resources: Preloaded drawable resource #0x10800c1 (android:drawable/ab_stacked_transparent_light_holo) that varies with configuration!!
